name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Edgerrin Cooper,Linebacker,Texas A&M,SEC,74.0,230.0,4.51,,34.5,118.0,,,22.0,4,0,1,1,1,0,0,2.0,9.0,9.5,42.0,0.0,18.5,83.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,4.0,1.0,0.0,4.0,,,,,0.0,0.0,1.0,5.0,5.0,0.0,33.0,0.0,8.0,61.0,1.0,2.0,0.5,37.0,0.0,5.5,58.0,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Junior Colson,Linebacker,Michigan,Big Ten,74.0,238.0,,,,,,,21.0,3,1,1,1,0,0,0,2.0,2.0,0.0,40.0,0.0,2.0,89.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,2.0,34.0,0.0,6.0,80.0,2.0,3.0,0.5,28.0,0.0,0.5,60.0,0.0,0.0,2.0,,,,,,,,,,
Trevin Wallace,Linebacker,Kentucky,SEC,73.0,237.0,4.51,,37.5,127.0,,,21.0,3,1,1,1,0,0,0,0.0,3.0,5.5,45.0,0.0,8.5,80.0,,,,9.5,2.0,0.0,19.0,21.0,1.0,0.0,21.0,,,,,,,,,,,,0.0,1.0,2.5,28.0,0.0,6.0,48.0,1.0,1.0,2.0,16.0,1.0,4.0,32.0,,,,,,,,,,,,,
Marist Liufau,Linebacker,Notre Dame,FBS Independents,74.0,234.0,4.64,,,,,,23.0,4,0,1,1,1,1,0,1.0,2.0,3.0,21.0,0.0,6.0,42.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,2.0,1.0,2.0,0.5,20.0,0.0,3.5,49.0,,,,,,,,,,,0.0,0.0,2.0,0.0,0.0,0.5,10.0,0.0,1.5,22.0
Ty'Ron Hopper,Linebacker,Missouri,SEC,74.0,231.0,,,,,,,23.0,4,0,1,1,1,1,0,3.0,6.0,3.0,36.0,0.0,6.0,55.0,,,,15.0,1.0,0.0,15.0,,,,,,,,,,,,,,,,2.0,6.0,3.0,54.0,0.0,13.5,65.0,2.0,1.0,2.5,32.0,0.0,8.0,62.0,,,,,,,0.0,0.0,0.5,5.0,0.0,1.0,13.0
Adisa Isaac,Linebacker,Penn State,Big Ten,76.0,247.0,4.74,,34.5,123.0,,,22.0,4,1,1,1,1,0,0,0.0,4.0,7.5,23.0,0.0,16.0,37.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0,8.0,4.0,11.0,0.0,9.0,23.0,,,,,,,,,,,,,,0.0,2.0,1.5,5.0,0.0,1.5,13.0
Payton Wilson,Linebacker,NC State,ACC,76.0,233.0,4.43,,34.5,119.0,,,24.0,4,0,0,1,1,1,1,6.0,10.0,6.0,69.0,1.0,17.5,138.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6.3,3.0,1.0,19.0,,,,,5.0,1.0,0.0,5.0,,,,3.0,7.0,4.5,37.0,0.0,11.5,75.0,0.0,0.0,1.0,2.0,0.0,1.5,5.0,,,,1.0,0.0,0.0,1.0,6.0,3.5,57.0,0.0,11.5,108.0
Cedric Gray,Linebacker,North Carolina,ACC,74.0,234.0,4.64,17.0,35.5,120.0,,,21.0,4,1,1,1,0,0,0,4.0,7.0,5.0,64.0,0.0,11.0,121.0,0.0,0.0,2.0,15.0,2.0,0.0,30.0,0.0,1.0,0.0,0.0,10.5,2.0,0.0,21.0,,,,,0.0,0.0,2.0,6.0,4.0,1.0,76.0,0.0,10.0,136.0,3.0,2.0,2.5,52.0,0.0,6.0,99.0,0.0,0.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Tyrice Knight,Linebacker,UTEP,Conference USA,73.0,233.0,4.63,21.0,34.5,119.0,7.25,4.4,23.0,4,0,1,1,1,1,0,6.0,3.0,3.5,63.0,0.0,13.0,113.0,0.0,0.0,2.0,-2.0,1.0,0.0,-2.0,,,,,0.0,1.0,0.0,0.0,,,,,0.0,0.0,2.0,5.0,4.0,1.0,50.0,0.0,4.5,97.0,3.0,2.0,2.0,49.0,0.0,9.0,89.0,0.0,0.0,1.0,,,,0.0,1.0,1.0,26.0,0.0,2.5,54.0
Jordan Magee,Linebacker,Temple,American Athletic,73.0,228.0,4.55,,35.5,124.0,,,23.0,4,0,1,1,1,1,0,4.0,0.0,3.5,45.0,0.0,14.0,80.0,,,,,,,,,,,,,,,,45.0,1.0,0.0,45.0,0.0,0.0,1.0,3.0,1.0,4.5,50.0,0.0,9.0,86.0,3.0,1.0,0.0,35.0,0.0,6.5,54.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,1.5,15.0
JD Bertrand,Linebacker,Notre Dame,FBS Independents,73.0,230.0,,20.0,,,,,24.0,4,0,0,0,1,1,1,5.0,7.0,2.5,41.0,0.0,7.5,76.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,40.0,0.0,8.0,74.0,1.0,3.0,1.0,65.0,0.0,6.5,102.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,3.0,0.0,0.0,4.0
Tommy Eichenberg,Linebacker,Ohio State,Big Ten,74.0,233.0,,,32.5,116.0,,4.24,23.0,3,0,0,1,1,1,0,0.0,4.0,1.0,40.0,0.0,2.5,80.0,,,,15.0,1.0,1.0,15.0,,,,,0.0,1.0,0.0,0.0,,,,,,,,3.0,5.0,2.5,72.0,1.0,12.0,112.0,2.0,2.0,0.0,33.0,0.0,6.5,64.0,0.0,0.0,1.0,,,,,,,,,,
Jeremiah Trotter Jr.,Linebacker,Clemson,ACC,72.0,228.0,,21.0,,,7.13,4.4,21.0,3,1,1,1,0,0,0,5.0,8.0,5.5,50.0,1.0,13.0,79.0,,,,17.5,2.0,1.0,35.0,14.0,2.0,1.0,28.0,,,,,,,,,,,,5.0,4.0,5.5,44.0,1.0,11.0,80.0,0.0,0.0,1.0,9.0,0.0,1.0,15.0,,,,,,,,,,,,,
Edefuan Ulofoshio,Linebacker,Washington,Pac-12,73.0,236.0,4.56,,39.5,128.0,,,24.0,4,0,0,1,1,1,1,2.0,0.0,3.0,58.0,1.0,8.0,90.0,,,,,,,,45.0,1.0,1.0,45.0,,,,,,,,,,,,0.0,0.0,0.0,4.0,0.0,0.0,8.0,1.0,0.0,0.0,25.0,0.0,2.5,51.0,,,,0.0,0.0,3.0,4.0,0.0,1.0,31.0,0.0,1.0,47.0
Jaylan Ford,Linebacker,Texas,Big 12,74.0,240.0,,,33.5,121.0,,,22.0,4,1,1,1,1,0,0,2.0,6.0,1.0,46.0,0.0,10.5,96.0,0.0,0.0,1.0,12.0,4.0,0.0,48.0,2.5,2.0,0.0,5.0,,,,,,,,,0.0,0.0,4.0,2.0,2.0,2.0,57.0,0.0,10.0,109.0,0.0,1.0,0.0,29.0,0.0,6.0,53.0,,,,,,,0.0,0.0,0.0,5.0,0.0,1.0,14.0
Darius Muasau,Linebacker,UCLA,Pac-12,72.0,225.0,4.7,,36.5,117.0,,,23.0,4,0,1,1,1,1,0,5.0,1.0,3.0,43.0,0.0,10.5,75.0,,,,2.5,2.0,0.0,5.0,0.0,1.0,0.0,0.0,75.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,5.0,1.0,37.0,0.0,2.5,77.0,4.0,3.0,7.0,65.0,1.0,14.0,108.0,0.0,0.0,1.0,,,,1.0,7.0,4.5,66.0,0.0,9.5,102.0
Jamal Hill,Linebacker,Oregon,Pac-12,,,,,,,,,23.0,4,0,1,1,1,1,0,2.0,2.0,2.0,13.0,0.0,5.0,31.0,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,,,3.0,0.0,0.0,32.0,0.0,0.0,45.0,4.0,3.0,0.0,26.0,0.0,0.0,36.0,,,,,,,4.0,0.0,0.0,14.0,0.0,0.0,20.0
Nathaniel Watson,Linebacker,Mississippi State,SEC,74.0,233.0,4.63,,31.0,111.0,,,24.0,4,0,0,1,1,1,1,2.0,7.0,10.0,35.0,0.0,13.0,137.0,0.0,0.0,2.0,51.0,1.0,0.0,51.0,16.0,1.0,0.0,16.0,,,,,,,,,,,,0.0,2.0,6.0,50.0,0.0,12.0,109.0,1.0,2.0,5.0,33.0,0.0,6.0,83.0,,,,,,,1.0,1.0,0.0,15.0,0.0,3.0,39.0
Michael Barrett,Linebacker,Michigan,Big Ten,71.0,233.0,,,,,,,24.0,4,0,0,1,1,1,1,2.0,5.0,3.0,36.0,0.0,3.5,61.0,0.0,0.0,2.0,26.0,2.0,1.0,52.0,,,,,,,,,,,,,,,,1.0,2.0,3.5,31.0,1.0,4.0,58.0,1.0,1.0,1.0,10.0,0.0,2.0,21.0,,,,,,,0.0,1.0,1.0,25.0,0.0,2.0,43.0
Tatum Bethune,Linebacker,Florida State,ACC,72.0,229.0,,16.0,,,,,23.0,4,0,1,1,1,1,0,3.0,3.0,1.0,32.0,0.0,6.5,70.0,,,,,,,,0.0,1.0,0.0,0.0,11.5,2.0,0.0,23.0,6.0,1.0,0.0,6.0,0.0,0.0,1.0,2.0,1.0,3.0,39.0,0.0,9.0,77.0,1.0,3.0,2.0,60.0,0.0,5.5,108.0,,,,1.0,0.0,0.0,2.0,1.0,2.5,28.0,0.0,7.0,57.0
