name,position,college,conference,height,weight,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_punting_In 20,Y0_punting_LONG,Y0_punting_NO,Y0_punting_TB,Y0_punting_YDS,Y0_punting_YPP,Y1_punting_In 20,Y1_punting_LONG,Y1_punting_NO,Y1_punting_TB,Y1_punting_YDS,Y1_punting_YPP,Y2_punting_In 20,Y2_punting_LONG,Y2_punting_NO,Y2_punting_TB,Y2_punting_YDS,Y2_punting_YPP,Y3_punting_In 20,Y3_punting_LONG,Y3_punting_NO,Y3_punting_TB,Y3_punting_YDS,Y3_punting_YPP,draft_year,forty,vertical,broad_jump,cone,shuttle
Michael Dickson,Punter,Texas,Big 12,75.0,205.0,22.0,3,0,1,1,1,0,0,0.0,76.0,84.0,0.0,3984.0,47.4,0.0,74.0,65.0,0.0,3079.0,47.4,0.0,63.0,77.0,0.0,3179.0,41.3,,,,,,,2018,,,,,
JK Scott,Punter,Alabama,SEC,77.0,207.0,22.0,4,1,1,1,1,0,0,0.0,64.0,54.0,0.0,2320.0,43.0,0.0,66.0,64.0,0.0,3020.0,47.2,0.0,59.0,70.0,0.0,3094.0,44.2,31.0,73.0,55.0,5.0,2640.0,48.0,2018,,,,,
Johnny Townsend,Punter,Florida,SEC,73.0,209.0,23.0,3,0,0,1,1,1,0,0.0,70.0,64.0,0.0,3043.0,47.5,0.0,62.0,64.0,0.0,3065.0,47.9,0.0,61.0,83.0,0.0,3765.0,45.4,,,,,,,2018,,,,,
Logan Cooke,Punter,Mississippi State,SEC,77.0,237.0,23.0,4,0,1,1,1,1,0,0.0,67.0,52.0,0.0,2220.0,42.7,0.0,68.0,44.0,0.0,1760.0,40.0,0.0,65.0,44.0,0.0,1856.0,42.2,2.0,51.0,10.0,0.0,414.0,41.4,2018,,,,,
Mitch Wishnowsky,Punter,Utah,Pac-12,74.0,218.0,27.0,3,0,0,0,0,0,0,24.0,68.0,59.0,4.0,2669.0,45.2,1.0,60.0,52.0,0.0,2282.0,43.9,1.0,66.0,64.0,0.0,3053.0,47.7,,,,,,,2019,4.63,32.5,117.0,,
Jake Bailey,Punter,Stanford,Pac-12,73.0,200.0,22.0,4,1,1,1,1,0,0,26.0,84.0,68.0,10.0,2995.0,44.0,3.0,65.0,57.0,0.0,2586.0,45.4,0.0,61.0,50.0,0.0,2176.0,43.5,0.0,56.0,10.0,0.0,347.0,34.7,2019,4.72,33.0,117.0,,
Braden Mann,Punter,Texas A&M,SEC,71.0,198.0,22.0,4,1,1,1,1,0,0,11.0,68.0,57.0,2.0,2685.0,47.1,20.0,82.0,50.0,9.0,2549.0,51.0,,,,,,,0.0,50.0,2.0,0.0,94.0,47.0,2020,4.83,31.0,111.0,7.03,4.13
Sterling Hofrichter,Punter,Syracuse,ACC,70.0,196.0,23.0,4,0,1,1,1,1,0,8.0,65.0,69.0,0.0,3026.0,43.9,22.0,58.0,67.0,4.0,2874.0,42.9,0.0,64.0,57.0,0.0,2462.0,43.2,0.0,65.0,77.0,0.0,3289.0,42.7,2020,,,,,
Pressley Harvin III,Punter,Georgia Tech,ACC,71.0,263.0,22.0,4,1,1,1,1,0,0,18.0,70.0,45.0,3.0,2159.0,48.0,7.0,58.0,80.0,3.0,3583.0,44.8,14.0,62.0,35.0,2.0,1447.0,41.3,0.0,62.0,50.0,0.0,2205.0,44.1,2021,,,,,
Jordan Stout,Punter,Penn State,Big Ten,75.0,209.0,24.0,2,0,0,0,0,1,1,35.0,76.0,67.0,3.0,3083.0,46.0,8.0,56.0,33.0,1.0,1371.0,41.5,,,,,,,,,,,,,2022,4.65,,,,
Jake Camarda,Punter,Georgia,SEC,73.0,193.0,23.0,4,0,1,1,1,1,0,16.0,68.0,47.0,6.0,2197.0,46.7,18.0,64.0,36.0,6.0,1677.0,46.6,18.0,67.0,61.0,4.0,2857.0,46.8,11.0,63.0,43.0,8.0,1830.0,42.6,2022,4.56,,,,
Matt Araiza,Punter,San Diego State,Mountain West,73.0,200.0,22.0,4,1,1,1,1,0,0,38.0,86.0,79.0,15.0,4044.0,51.2,2.0,58.0,5.0,0.0,249.0,49.8,,,,,,,0.0,36.0,1.0,0.0,36.0,36.0,2022,4.68,32.0,121.0,,
Trenton Gill,Punter,NC State,ACC,76.0,219.0,23.0,3,0,0,1,1,1,0,31.0,65.0,65.0,5.0,2887.0,44.4,19.0,62.0,52.0,6.0,2334.0,44.9,9.0,75.0,56.0,2.0,2663.0,47.6,,,,,,,2022,,,,,
